,Entrevistador:,Data de Preenchimento:,Número do formulário:,Sexo do responsável:,Idade do responsável:,Sexo da criança:,Idade da criança:,Quantos televisores em cores você possui?,Quantos rádio você possui?,Quantos banheiro tem a casa?,Quantos automóveis você possui?,Possui empregada mensalista?,Quantas máquina de lavar você possui?,Quantos videocassete e/ou DVD você possui?,Quantas geladeira você possui?,Quantos freezer (aparelho independente ou parte da geladeira duplex) você possui?,Grau de Instrução do chefe de família (entre parênteses nomenclatura atual) – escolha apenas uma alternativa:
131,Anna Carolina Alves,21/01/15 11:23 AM,28,Feminino,26,Masculino,2,2,4 ou +,1,0,0,1,1,1,0,Colegial completo / Superior incompleto (Médio completo)
132,Angelica Manfroi,21/01/15 01:34 PM,036,Feminino,32,Masculino,5,1,1,1,0,0,1,0,1,0,Analfabeto / Primário incompleto (Analfabeto ou até 3a. Série do Fundamental) 
133,Angelica Manfroi,21/01/15 01:51 PM,037,Feminino,24,Feminino,8,2,1,1,1,0,1,1,1,1,Colegial completo / Superior incompleto (Médio completo)
134,Angelica Manfroi,21/01/15 02:11 PM,038,Feminino,26,Feminino,3,1,1,1,0,0,1,1,1,0,Ginasial completo / Colegial incompleto (Fundamental completo) 
135,Caio Morcelli,21/01/15 02:29 PM,22,Feminino,19,Feminino,2,0,0,1,0,0,1,1,1,0,Ginasial completo / Colegial incompleto (Fundamental completo) 
136,Angelica Manfroi,21/01/15 02:50 PM,039,Feminino,35,Masculino,11,2,0,1,0,0,1,1,1,1,Colegial completo / Superior incompleto (Médio completo)
137,Caio Morcelli,21/01/15 03:05 PM,23,Feminino,33,Feminino,8,2,0,1,0,0,1,0,1,0,Colegial completo / Superior incompleto (Médio completo)
138,Angelica Manfroi,21/01/15 03:11 PM,040,Feminino,22,Feminino,0,1,0,1,0,0,1,0,1,1,Colegial completo / Superior incompleto (Médio completo)
139,Angelica Manfroi,21/01/15 03:23 PM,041,Feminino,31,Feminino,0,2,0,1,1,0,1,1,1,0,Colegial completo / Superior incompleto (Médio completo)
140,Caio Morcelli,21/01/15 03:44 PM,24,Feminino,28,Masculino,7,1,0,1,0,0,1,1,1,0,Primário completo / Ginasial incompleto (Até 4a. Série do Fundamental)
141,Caio Morcelli,21/01/15 04:02 PM,25,Feminino,33,Masculino,0,3,1,2,1,0,2,2,1,0,Primário completo / Ginasial incompleto (Até 4a. Série do Fundamental)
142,Anna Carolina Alves,22/01/15 02:37 PM,29,Feminino,22,Masculino,1,1,0,1,0,0,1,1,1,0,Colegial completo / Superior incompleto (Médio completo)
143,Anna Carolina Alves,22/01/15 02:48 PM,30,Feminino,25,Feminino,1,2,1,1,0,0,1,2,1,1,Colegial completo / Superior incompleto (Médio completo)
144,Anna Carolina Alves,22/01/15 03:04 PM,31,Feminino,24,Feminino,3,3,0,1,0,0,1,0,1,0,Colegial completo / Superior incompleto (Médio completo)
145,Anna Carolina Alves,22/01/15 03:18 PM,32,Feminino,21,Feminino,1,3,2,4 ou +,2,0,1,3,3,1,Colegial completo / Superior incompleto (Médio completo)
146,Anna Carolina Alves,22/01/15 03:35 PM,33,Feminino,39,Masculino,5,3,1,2,0,0,1,2,1,0,Ginasial completo / Colegial incompleto (Fundamental completo) 
147,Caio Morcelli,23/01/15 10:04 AM,26,Feminino,25,Masculino,2,1,0,1,0,0,1,0,1,0,Ginasial completo / Colegial incompleto (Fundamental completo) 
148,Jacqueline Maximiano Conceicao,23/01/15 10:08 AM,57,Feminino,33,Masculino,8,1,1,1,0,0,1,1,1,0,Colegial completo / Superior incompleto (Médio completo)
149,Jacqueline Maximiano Conceicao,23/01/15 10:19 AM,58,Feminino,32,Masculino,1,1,1,1,0,0,1,1,1,0,Colegial completo / Superior incompleto (Médio completo)
150,Caio Morcelli,23/01/15 10:30 AM,27,Masculino,28,Masculino,0,1,1,1,0,1,1,1,1,0,Ginasial completo / Colegial incompleto (Fundamental completo) 
151,Jacqueline Maximiano Conceicao,23/01/15 10:37 AM,59,Feminino,29,Feminino,0,1,1,1,1,0,0,1,1,0,Colegial completo / Superior incompleto (Médio completo)
152,Caio Morcelli,23/01/15 10:49 AM,28,Masculino,25,Masculino,5,2,1,1,1,0,1,0,1,0,Colegial completo / Superior incompleto (Médio completo)
153,Jacqueline Maximiano Conceicao,23/01/15 11:09 AM,60,Feminino,31,Feminino,4,2,1,1,0,0,1,1,1,0,Ginasial completo / Colegial incompleto (Fundamental completo) 
